PID,weight,x0,xf,E0,Ef
10,1,-7.9449e+11,2.08789e+12,0,5.60559e-09
10,2,-7.94275e+11,2.08869e+12,0,4.98957e-09
10,3,-7.95338e+11,2.08789e+12,0,5.60559e-09
10,4,-7.91522e+11,2.08789e+12,0,5.60559e-09
10,5,-7.90889e+11,2.08789e+12,0,5.60559e-09
10,6,-7.93189e+11,2.08789e+12,0,5.60559e-09
10,1,-7.84141e+11,2.08789e+12,0,5.60559e-09
10,2,-7.79755e+11,2.08789e+12,0,5.60559e-09
10,3,-7.83527e+11,2.08789e+12,0,5.60559e-09
10,4,-7.79531e+11,2.08789e+12,0,5.60559e-09
10,5,-7.78873e+11,2.08789e+12,0,5.60559e-09
10,6,-7.81307e+11,2.08789e+12,0,5.60559e-09
10,7,-7.81609e+11,2.08789e+12,0,5.60559e-09
10,1,-6.5361e+09,2.08789e+12,0,5.60559e-09
10,2,-3.53429e+09,2.08789e+12,0,5.60559e-09
10,3,-4.64286e+09,2.08789e+12,0,5.60559e-09
10,4,-8.81497e+09,2.08789e+12,0,5.60559e-09
10,5,-4.13739e+09,2.08789e+12,0,5.60559e-09
10,6,-8.98234e+09,2.08789e+12,0,5.60559e-09
10,7,-8.87005e+09,2.08789e+12,0,5.60559e-09
10,8,-3.75148e+09,2.08789e+12,0,5.60559e-09
10,1,-9.96091e+10,2.08789e+12,0,5.60559e-09
10,2,-9.8444e+10,2.08789e+12,0,5.60559e-09
10,3,-9.7559e+10,2.08789e+12,0,5.60559e-09
10,4,-1.02204e+11,2.08789e+12,0,5.60559e-09
10,5,-9.84422e+10,2.08789e+12,0,5.60559e-09
10,6,-9.94511e+10,2.08813e+12,0,5.38782e-10
10,7,-9.6984e+10,2.08789e+12,0,5.60559e-09
10,8,-9.83452e+10,2.08789e+12,0,5.60559e-09
10,9,-1.03055e+11,2.08789e+12,0,5.60559e-09
10,1,-7.54974e+09,2.08789e+12,0,5.60559e-09
10,2,-7.64932e+09,2.08789e+12,0,5.60559e-09
10,3,-2.50546e+08,2.08789e+12,0,5.60559e-09
10,4,-8.76267e+08,2.08789e+12,0,5.60559e-09
10,5,-7.72768e+09,2.08789e+12,0,5.60559e-09
10,6,-4.87549e+09,2.08789e+12,0,5.60559e-09
10,7,-6.08069e+09,2.08789e+12,0,5.60559e-09
10,8,-6.01859e+09,2.08789e+12,0,5.60559e-09
10,9,-6.76096e+09,2.08789e+12,0,5.60559e-09
10,10,-5.72822e+09,2.08789e+12,0,5.60559e-09
11,1,-8.22117e+11,2.08789e+12,0,5.60559e-09
11,1,-8.20253e+11,2.08753e+12,0,9.85927e-10
11,2,-8.26355e+11,2.08789e+12,0,5.60559e-09
11,1,-8.25209e+11,2.08789e+12,0,5.60559e-09
11,2,-8.19227e+11,2.08792e+12,0,4.489e-11
11,3,-8.19034e+11,2.08789e+12,0,5.60559e-09
11,1,-8.13715e+11,2.08789e+12,0,5.60559e-09
11,2,-8.20066e+11,2.08789e+12,0,5.60559e-09
11,3,-8.15584e+11,2.08789e+12,0,5.60559e-09
11,4,-8.15711e+11,2.08789e+12,0,5.60559e-09
11,1,-8.11859e+11,2.08817e+12,0,1.36856e-08
11,2,-8.11684e+11,2.08789e+12,0,5.60559e-09
11,3,-8.11172e+11,2.08789e+12,0,5.60559e-09
11,4,-8.11136e+11,2.0879e+12,0,1.26534e-11
11,5,-8.14253e+11,2.08789e+12,0,5.60559e-09
11,1,-8.08499e+11,2.08789e+12,0,5.60559e-09
11,2,-8.07605e+11,2.08789e+12,0,5.60559e-09
11,3,-8.10369e+11,2.08789e+12,0,5.60559e-09
11,4,-8.10382e+11,2.08789e+12,0,5.60559e-09
11,5,-8.11348e+11,2.08783e+12,0,1.85897e-11
11,6,-8.10719e+11,2.08789e+12,0,5.60559e-09
